272,Treyarch,2018,Call of Duty: Black Ops IIII,Shooter,XOne,Activision
273,Nintendo R&D1,1990,Dr. Mario,Puzzle,NES,Nintendo
274,Vicarious Visions,2017,Crash Bandicoot N. Sane Trilogy,Platform,PS4,Activision
275,Ubisoft Montreal,2007,Assassin's Creed,Action,PS3,Ubisoft
276,Infinity Ward,2016,Call of Duty: Infinite Warfare,Shooter,XOne,Activision
277,Naughty Dog,1999,Crash Team Racing,Racing,PS,Sony Computer Entertainment
278,Traveller's Tales,2007,LEGO Star Wars: The Complete Saga,Action,DS,LucasArts
279,Nintendo EAD,2007,The Legend of Zelda: Phantom Hourglass,Adventure,DS,Nintendo
280,Rocksteady Studios,2011,Batman: Arkham City,Action,X360,Warner Bros. Interactive
281,Reflections Interactive,2000,Driver 2,Action,PS,Atari
282,Radical Entertainment,2003,The Simpsons: Hit & Run,Racing,PS2,VU Games
283,Blizzard Entertainment,2010,World of Warcraft: Cataclysm,MMO,PC,Blizzard Entertainment
284,Neversoft Entertainment,2000,Tony Hawk's Pro Skater 2,Sports,PS,Activision
285,Capcom,2018,Monster Hunter: World,Action,PS4,Capcom
286,Polyphony Digital,2009,Gran Turismo,Racing,PSP,Sony Computer Entertainment
287,Stormfront Studios,2002,The Lord of the Rings: The Two Towers,Action,PS2,Electronic Arts
288,Core Design Ltd.,1996,Tomb Raider,Action,PS,Eidos Interactive
289,SCEA Santa Monica Studio,2005,God of War,Action,PS2,Sony Computer Entertainment
290,Nintendo EAD,1992,The Legend of Zelda: A Link to the Past,Adventure,SNES,Nintendo
291,Turn 10 Studio,2011,Forza Motorsport 4,Racing,X360,Microsoft Studios
292,Vicarious Visions,2007,Guitar Hero III: Legends of Rock,Misc,Wii,RedOctane
293,Game Freak,2018,"Pokemon: Let's Go, Pikachu!",Role-Playing,NS,Nintendo
294,Irrational Games,2013,BioShock Infinite,Shooter,PC,2K Games
295,AlphaDream Corporation,2009,Mario & Luigi: Bowser's Inside Story,Role-Playing,DS,Nintendo
296,EA Canada,2014,FIFA 15,Sports,PS3,EA Sports
297,Sega,2009,Mario & Sonic at the Olympic Winter Games,Sports,Wii,Sega
298,Blizzard Entertainment,2016,Overwatch,Shooter,PS4,Blizzard Entertainment
299,EA Tiburon,2004,Madden NFL 2005,Sports,PS2,EA Sports
300,Neversoft,2007,Guitar Hero III: Legends of Rock,Misc,X360,RedOctane
301,EA DICE,2017,Star Wars Battlefront II (2017),Shooter,PS4,Electronic Arts
